cidade,latitude,longitude
ITAITUBA,-4.2625218,-55.9878139
SALVADOR,-12.9822499,-38.4812772
OURILÂNDIA DO NORTE,-6.748975,-51.0788476
NATAL,-5.805398,-35.2080905
PORTO ALEGRE,-30.0324999,-51.2303767
RIO DE JANEIRO,-22.9110137,-43.2093727
CONFINS,-19.6278749,-43.9912311
ITARUMÃ,-18.7645529,-51.348516
BRASÍLIA,-10.3333333,-53.2
BELO HORIZONTE,-19.9225776,-43.9451356
UNIÃO,-4.5892553,-42.8593348
CAMPINAS,-22.9056391,-47.059564
SÃO LUÍS,-2.5295265,-44.2963942
FORTALEZA,-3.7304512,-38.5217989
SANTIAGO,-29.189675,-54.866624
SANTARÉM,-2.438489,-54.699611
PORTO NACIONAL,-10.7019786,-48.4110952
LAGUNA CARAPÃ,-22.5549233,-55.1505549
RIBEIRÃO PRETO,-21.1776315,-47.8100983
SÃO PAULO,-23.5506507,-46.6333824
MANAUS,-3.1316333,-59.9825041
UNAÍ,-16.3628767,-46.892413
GUARULHOS,-23.4675941,-46.5277704
BOA VISTA,2.8208478,-60.6719582
ALTO ARAGUAIA,-17.3156528,-53.2169365
POUSO ALEGRE,-22.2343858,-45.9327241
URUGUAIANA,-29.7560726,-57.0867546
ALTO ALEGRE,-21.5820592,-50.1661976
TERESINA,-5.0874608,-42.8049571
GOVERNADOR VALADARES,-18.8539497,-41.9458753
IRACEMA,-5.8106219,-38.3028294
HUMAITÁ,-27.5660564,-53.9719817
NOVO SÃO JOAQUIM,-14.9108231,-53.01775
LUZIÂNIA,-16.2535456,-47.9500276
VIDEIRA,-27.00544,-51.1533733
MATEIROS,-10.5462254,-46.417423
FEIRA DE SANTANA,-12.2578934,-38.9598047
ATIBAIA,-23.1177393,-46.5547861
SÃO PEDRO DA ÁGUA BRANCA,-5.083403,-48.4299175
MARICÁ,-22.9086953,-42.81697117211138
QUIRINÓPOLIS,-18.4471859,-50.4546981
COCOS,-14.1811222,-44.5382117
PIRACICABA,-22.725165,-47.6493269
CAMPO LARGO,-25.4597726,-49.5270851
CURURUPU,-1.824255,-44.872996
BIRITIBA-MIRIM,-23.5697765,-46.0407456
CANARANA,-11.6870151,-41.7683675
JAGUARAÇU,-19.6471951,-42.7513291
VILA VELHA,-20.3297037,-40.2920174
SÃO DESIDÉRIO,-12.357196,-44.976881
ITAMARATI,-6.4385189,-68.2437385
GOIÂNIA,-16.680882,-49.2532691
RIO VERDE,-17.7921255,-50.9191219
SANTO ANTÔNIO DO LEVERGER,-15.84100265,-56.067934219736316
UBERLÂNDIA,-18.9188041,-48.2767837
NAVEGANTES,-26.8898813,-48.6495828
SÃO FÉLIX DO ARAGUAIA,-11.6170646,-50.6667246
CAMPO VERDE,-21.4603331,-49.9465156
RIACHÃO,-7.3642557,-46.6226095
ALTO ALEGRE DO PINDARÉ,-3.6698186,-45.8462153
BELÉM,-1.45056,-48.4682453
CAMPO GRANDE,-20.4640173,-54.6162947
LAGES,-27.8165664,-50.325883
CABO FRIO,-22.8804369,-42.0189227
ARAÇATUBA,-21.207992,-50.4390225
AMERICANA,-22.7392463,-47.3306032
BRAGANÇA PAULISTA,-22.9520235,-46.5418586
SÃO CARLOS,-22.0180395,-47.891154
SANTO ANTÔNIO DO LESTE,-14.8037659,-53.6095671
PARAGOMINAS,-2.99564,-47.3548942
BAURU,-22.3218102,-49.0705863
