,codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_raw,ocorrencia_mes,ocorrencia_ano,ocorrencia_hora_raw,ano_mes
0,81756,81756,81756,81756,81756,INCIDENTE GRAVE,-4.324444444,-56.08805556,ITAITUBA,PA,BRASIL,SNEJ,5,17,SIM,FINALIZADA,***,NÃO,,0,1,SIM,4/5/2023 0:00,4,2023,1/1/1900 17:20,2023-04
1,81747,81747,81747,81747,81747,INCIDENTE,-12.90861111,-38.3225,SALVADOR,BA,BRASIL,SBSV,24,22,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/24/2023 0:00,6,2023,1/1/1900 22:00,2023-06
2,81746,81746,81746,81746,81746,INCIDENTE,-6.241111111,-50.80055556,OURILÂNDIA DO NORTE,PA,BRASIL,****,27,16,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/27/2023 0:00,6,2023,1/1/1900 16:12,2023-06
3,81745,81745,81745,81745,81745,INCIDENTE,-5.908333333,-35.24916667,NATAL,RN,BRASIL,SBNT,30,13,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/30/2023 0:00,6,2023,1/1/1900 13:15,2023-06
4,81743,81743,81743,81743,81743,INCIDENTE,-29.99472222,-51.17111111,PORTO ALEGRE,RS,BRASIL,SBPA,25,23,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/25/2023 0:00,6,2023,1/1/1900 23:45,2023-06
5,81742,81742,81742,81742,81742,INCIDENTE,-22.91,-43.1625,RIO DE JANEIRO,RJ,BRASIL,SBRJ,23,20,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/23/2023 0:00,6,2023,1/1/1900 20:29,2023-06
6,81740,81740,81740,81740,81740,INCIDENTE,-19.62444444,-43.97194444,CONFINS,MG,BRASIL,SBCF,24,15,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/24/2023 0:00,6,2023,1/1/1900 15:02,2023-06
7,81737,81737,81737,81737,81737,ACIDENTE,-18.71277778,-51.75722222,ITARUMÃ,GO,BRASIL,***,29,14,SIM,ATIVA,A-107/CENIPA/2023,NÃO,,0,1,SIM,6/29/2023 0:00,6,2023,1/1/1900 14:30,2023-06
8,81736,81736,81736,81736,81736,INCIDENTE,-15.87111111,-47.91861111,BRASÍLIA,DF,BRASIL,SBBR,3,3,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/3/2023 0:00,6,2023,1/1/1900 3:30,2023-06
9,81734,81734,81734,81734,81734,INCIDENTE,-29.99472222,-51.17111111,PORTO ALEGRE,RS,BRASIL,SBPA,21,18,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/21/2023 0:00,6,2023,1/1/1900 18:55,2023-06
10,81733,81733,81733,81733,81733,INCIDENTE,-19.85194444,-43.95055556,BELO HORIZONTE,MG,BRASIL,SBBH,29,17,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/29/2023 0:00,6,2023,1/1/1900 17:25,2023-06
11,81732,81732,81732,81732,81732,ACIDENTE,-4.791666667,-42.82416667,UNIÃO,PI,BRASIL,***,28,12,SIM,ATIVA,A-106/CENIPA/2023,NÃO,,0,1,NÃO,6/28/2023 0:00,6,2023,1/1/1900 12:15,2023-06
12,81731,81731,81731,81731,81731,INCIDENTE,-23.00694444,-47.13444444,CAMPINAS,SP,BRASIL,SBKP,21,16,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/21/2023 0:00,6,2023,1/1/1900 16:49,2023-06
